category_id,name,district,address,latitude,longitude,phone_number,price,page_url,work_time,image_url,description
7,경희대학교,동대문구,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,02-961-0114,무료,https://www.khu.ac.kr/kor/main/index.do,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=de5fcf4addd140eeb59f259219fc117b&thumb=Y,
3,DDP(동대문디자인플라자),중구,서울특별시 중구 을지로 281,37.56681313,127.0096257,02-2153-0000,무료,http://www.ddp.or.kr,살림터 : 매월 세 번째 주 월요일 / 배움터 : 매주 월요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=04ae3506f18f4fb39a8553095364f973&thumb=Y,
2,우란2경,성동구,서울특별시 성동구 연무장7길 11,37.54378977,127.0544169,070-4244-3812,무료,http://www.wooranfdn.org/main.jsp,공연에 따라 다름,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101414&thumb=Y,
4,구립은평뉴타운도서관,은평구,서울특별시 은평구 진관2로 111-51,37.6372304,126.9331183,02-6341-6400,무료,http://www.enlib.or.kr/,매주 금요일과 법정공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101433&thumb=Y,
2,노원문화예술회관,노원구,서울특별시 노원구 중계로 181,37.65023685,127.0802671,02-2289-3400,무료,https://www.nowonarts.kr/,행사 일정에 따름,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101437&thumb=Y,
3,서울시립미술관 SeMA창고,은평구,서울특별시 은평구 통일로 684,37.60933472,126.9343404,02-2124-8868,무료,https://sema.seoul.go.kr,월요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101447&thumb=Y,
2,동숭무대,종로구,서울특별시 종로구 혜화로 35,37.58868966,126.9991712,010-8923-1512,무료,http://cafe.naver.com/dsstage,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101449&thumb=Y,
1,양천구민체육센터,양천구,서울특별시 양천구 목동동로 87,37.51639134,126.8643307,02-2652-1792,,https://www.ycs.or.kr/fmcs/17,"법정공휴일, 근로자의날",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100798&thumb=Y,
3,금천예술공장,금천구,서울시 금천구 범안로15길 57,37.46891512,126.891913,02-807-4800,무료,http://www.sfac.or.kr/,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92236b8c63104b78b94c36c1352df569&thumb=Y,
4,송파도서관,송파구,서울특별시 송파구 동남로 263,37.49999535,127.1348515,02-3434-3333,무료,http://splib.sen.go.kr/,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=34bc95782a7b4ac5ad8cea174bb09b99&thumb=Y,
3,세종대왕기념관,동대문구,서울특별시 동대문구 회기로 56,37.59099289,127.0427032,02-969-8851,유료,http://sejongkorea.org/main/main.html,"매주 월요일, 설날, 추석, 신정",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100154&thumb=Y,
2,북촌 서울무형문화재 교육전시장,종로구,종로구 북촌로 20-13,37.5769527,126.9911313,02-742-6444,유료,www.seoulmaster.co.kr,매주 월요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=34ce0a9dad7c4f86be39106b22e02892&thumb=Y,
5,주한독일문화원,용산구,서울특별시 용산구 소월로 132,37.55071315,126.9827115,02-2021-2800,유료,http://www.goethe.de/ins/kr/seo/deindex.htm,"토요일, 공휴일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2a25dc3699c84f7193c39ee559238a32&thumb=Y,
5,주한영국문화원,중구,서울특별시 중구 서소문로11길 19,37.56378783,126.9720891,1522-5009,유료,https://www.britishcouncil.kr/,공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb3b5669fc51483ca1662aa7c6e006a6&thumb=Y,
4,고척도서관,구로구,서울특별시 구로구 고척로45길 31,37.50531999,126.8530393,02-2615-0524,유료,http://gclib.sen.go.kr/,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=73fa7f1a2485489d97593c26967dfee8&thumb=Y,
3,용산도시기억전시관,,"한강로3가 64-1 , 용산센트럴파크 해링턴스퀘어 공공시설동 1,2층",37.52686633,126.9668797,02-3785-2590,무료,https://blog.naver.com/yongsanpark_gallery,"일, 월, 공휴일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101551&thumb=Y,
7,광진교 8번가,강동구,서울특별시 강동구 천호2동 527-2 광진교 8번가,37.54514626,127.1126879,02-476-0722,무료,https://riverview8.co.kr,매주 월요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101545&thumb=Y,
3,서울생활사박물관,노원구,서울특별시 노원구 동일로174길 27,37.62017392,127.0769362,02-3399-2900,무료,https://museum.seoul.go.kr/sulm/index.do,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101547&thumb=Y,
3,공평도시유적전시관,종로구,서울특별시 종로구 우정국로 26,37.57168081,126.9835303,02-724-0215,무료,https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101548&thumb=Y,
3,김영옥 미술관,종로구,서울특별시 종로구 창의문로10길 11,37.59387811,126.9642539,02-391-1218,무료,www.magmasup.com,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101553&thumb=Y,
2,양천문화재단,양천구,서울특별시 양천구 목동서로 367,37.51652093,126.86334,,무료,https://yfac.kr/main/main.do,"18시 이후, 주말, 빨간 날",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101542&thumb=Y,
2,세종문화회관,종로구,서울 종로구 세종대로 175,37.5726241,126.9760053,02-399-1000,무료,https://www.sejongpac.or.kr,연중무휴,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=580516baeec44af59eafc7a1efc64ff0&thumb=Y,
2,민속극장풍류,강남구,서울 강남구 봉은사로 406 서울중요무형문화재전수회관,37.50991,127.044364,02-566-5951,유료,https://www.facebook.com/Pungryu,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100018&thumb=Y,
2,은평문화예술회관,은평구,서울 은평구 녹번동 85-4 녹번동,37.6039163,126.9283646,,무료,www.efac.or.kr,일요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100949&thumb=Y,
4,도봉도서관,도봉구,서울특별시 도봉구 삼양로 556,37.65254746,127.0127722,02-6714-7400,유료,http://dblib.sen.go.kr/,"매월 두 번째, 네 번째 수요일 법정 공휴일(국경일 등 관공서의 휴무일)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100139&thumb=Y,
7,강북구청,강북구,서울특별시 강북구 도봉로89길 13,37.63954439,127.0254726,02-901-6114,무료,https://www.gangbuk.go.kr/,"매주 토,일요일, 법정공휴일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100772&thumb=Y,
7,구로구청,구로구,서울특별시 구로구 가마산로 245,37.49556644,126.8875051,02-860-2114,무료,http://www.guro.go.kr,"매주 토,일, 법정공휴일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100806&thumb=Y,
3,노들섬 복합문화공간,용산구,서울특별시 용산구 양녕로 445,37.51766383,126.9580365,02-749-4500,무료,http://nodeul.org/,매주 월요일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a56628300474441382016ed4bef5764c&thumb=Y,
4,문래도서관,영등포구,서울특별시 영등포구 문래로20길 49,37.51685657,126.8908946,02-2629-8600,무료,https://www.ydplib.or.kr/mllib/index.do,매주 월요일 일요일을 제외한 법정공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=434f3e2652374f7c972d16f51ab93405&thumb=Y,
4,구로구립꿈나무어린이도서관,구로구,서울특별시 구로구 구로동로26길 54,37.48965471,126.8863324,02-860-1623,무료,https://lib.guro.go.kr/#/about/gulib/lib01,매주 화요일 및 법정공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100851&thumb=Y,
2,양천구 해누리타운 아트홀,양천구,서울특별시 양천구 목동동로 81,37.51597606,126.8638545,02-2620-4651,무료,https://www.ycs.or.kr/fmcs/55,행사 내용별 상이,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101357&thumb=Y,
2,한국방송회관 코바코홀,양천구,서울특별시 양천구 목동동로 233,37.52698169,126.8713942,02-3219-5700,무료,http://www.kobacohall.co.kr/,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101359&thumb=Y,
3,리움미술관,용산구,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941,02-2014-6900,무료,http://leeum.samsungfoundation.org,"매주 월요일, 1월 1일, 설날(음력) 및 추석 당일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=046cf915fb774cf78dbe330db84d63f4&thumb=Y,
2,반포심산아트홀,서초구,서울특별시 서초구 사평대로 55,37.49883446,126.9912425,02-3477-2461,무료,https://www.seochocf.or.kr,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d76ee0d80c404c0cbc32d73f2bc1f6b5&thumb=Y,
3,한미사진미술관,송파구,서울특별시 송파구 위례성대로 14,37.51659259,127.1139562,02-418-1315,유료,http://www.photomuseum.or.kr/,전시에 따라 변동,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100241&thumb=Y,
2,갈산문화예술센터,양천구,서울특별시 양천구 목동남로 106,37.51076244,126.8702069,02-2651-5300,무료,https://www.yangcheon.go.kr/site/yangcheon/05/10504150100002023031503.jsp,일요일 / 공휴일 : 대관시 운영,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0ec10c0f679645a4b2d677d5970d1873&thumb=Y,
7,한성대학교,성북구,서울특별시 성북구 삼선교로16길 118,37.5819996,127.0113127,02-760-4114,무료,https://www.hansung.ac.kr/sites/hansung/index.do,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f467c64b69eb484198f7c2bd1ba34932&thumb=Y,
1,동대문구민체육센터,동대문구,서울특별시 동대문구 장안벚꽃로 67,37.56653099,127.0734724,02-2247-9772,유료,https://www.dfmc.kr:8443/course/sports/fmcs/121,"토 09:00~13:00 첫째, 셋째주 일요일 09:00 ~ 18:00",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bdbbecf0cdb548f0acc35e98aa053d9e&thumb=Y,
2,송파구체육문화회관,송파구,서울특별시 송파구 양산로 15,37.49059489,127.1428172,02-402-3291,유료,http://www.esongpa.or.kr,일요일 및 법정공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100841&thumb=Y,
2,정동극장,중구,서울특별시 중구 정동길 43,37.56593364,126.9728444,02-751-1500,유료,www.jeongdong.or.kr,행사별 상이,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100727&thumb=Y,
2,종로구민회관,종로구,서울특별시 종로구 지봉로5길 7-5,37.57356472,127.014201,02-3672-2530,무료,https://www.ijongno.co.kr/front/main/21,법정공휴일,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100734&thumb=Y,
1,용산구문화체육센터,용산구,서울특별시 용산구 백범로 350,37.53724193,126.9676278,02-707-2492,유료,https://www.yong-san.or.kr/site/cs/home,"1, 3, 5주 일요일, 공휴일, 국경일, 정기휴관일",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3a1dc0d8855c49ec8e93c561e62cfeaf&thumb=Y,
4,구립증산정보도서관,은평구,서울특별시 은평구 증산로5길 6 (증산동 173-8) ,37.582727,126.9075589,02-307-6030,유료,http://www.jsplib.or.kr,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100792&thumb=Y,
