category_id,name,price,phone_number,image_url,page_url,description
7,해창양복점,유료,02-776-1667,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Inside_of_haechang_bespoke_tailor.jpg/800px-Inside_of_haechang_bespoke_tailor.jpg,,
7,한영양복점,유료,02-2266-0870,https://img.khan.co.kr/news/2017/12/03/l_2017120201000215800011504.webp,,
7,상동교회(구 새로나백화점),무료,,https://img.khan.co.kr/news/2020/03/23/l_2020032301002959900240628.jpg,,
6,라 칸티나,유료,02-777-2580,https://mblogthumb-phinf.pstatic.net/MjAxOTAyMjJfNDcg/MDAxNTUwNzk5MTc1NzM5.Lhmz2cMmrMsjfz4oWBwiN4Oh3A6y6NfiHmp-aQn0KrMg.sGcz9JN29WsmmYqIqoEtnBYWP8aSblJWN5fES1Bw4ewg.JPEG.roaltlf/04.%EB%9D%BC%EC%B9%B8%ED%8B%B0%EB%82%98.jpg?type=w420,,
7,남대문시장,무료,02-753-2805,https://post-phinf.pstatic.net/MjAyMTEyMDlfMzYg/MDAxNjM5MDE1OTQxNzY2.WVaZJZYUNWcnES2xVCQC3QX4xS73fk_59uzRAVj0QUwg.vT0yKQiz6jnKVOZuXLBNzoxzJQuV53s0xMNTgQGMTRkg.JPEG/2021120802263_0.jpg?type=w800_q75,,
7,홍대 앞 서교 365,무료,02-3141-1084,https://futureheritage.seoul.go.kr/HeritageImg/heritage/2013291/jpg/2013291_001.jpg,,
7,경춘선 폐철도노선,무료,,https://cdn.emetro.co.kr/data2/content/image/2020/11/01/.cache/512/20201101500226.jpg,,
7,연남동 기사식당 거리,무료,02-325-8727,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016174124_01.png,,
7,서울화력발전소(당인리발전소),무료,,https://i.namu.wiki/i/6ooMiWfD1zopoLbiJrajytB8qlYC13W-XPjKbAoNmmnVPSFFifmeembJT8feesdee8GtFEyQjZT4nXMvEAWmzg.webp,,
7,남대문 지하보도,무료,02-778-0001,https://mediahub.seoul.go.kr/wp-content/uploads/editor/images/000215/DSC02518.jpg,,
7,남대문교회,무료,02-753-6343,https://futureheritage.seoul.go.kr/HeritageImg/heritage/2013045/jpg/2013045_001.jpg,,
7,서울역 고가도로,무료,02-3407-3500,https://futureheritage.seoul.go.kr/HeritageImg/heritage/20171016154214_01.png,,
1,서울역광장,무료,,https://www.sisa-news.com/data/photos/20180833/art_153414717394_620abb.jpg,,
7,서울풍물시장,무료,02-2232-3367,https://minio.nculture.org/amsweb-opt/multimedia_assets/46/27584/12098/c/27584-full-size.jpg,,
7,청계천 고가도로 존치 기념물,무료,,https://mblogthumb-phinf.pstatic.net/MjAyMTEyMzBfMTQ0/MDAxNjQwODQxODQyMzc3.ARxclt6UiGZcYrhZ_64_pxOL42qAcQJVY2Q9xYwqiaMg.MGSR4io060CdGz2MizyxoIF5hEeW7qRgRRjPo5bK3WAg.JPEG.mismatch55/20211222%EF%BC%BF155046.jpg?type=w800,,
