,category_id,name,district,address,latitude,longitude,work_time,price,phone_number,image_url,SNS url,page_url,description,책방 구분명
1,,21세기문고,강남구,강남구 남부순환로359길 31,37.48683261,127.0355653,,무료,02-3463-1880  ,,,,,새책방      
4,,PRNT,동작구,동작구 만양로1길 1 1층,37.50573295,126.9467369,,무료,070-4177-0021,,https://www.instagram.com/prntseoul,https://prntseoul.com,,새책방      
19,,거목서점,서초구,서초구 신반포로 213 지하 9호,37.50727104,127.0072709,,무료,02-3476-1585,,,,,새책방      
21,,건영문고,노원구,노원구 섬밭로 258 지하 1층,37.63910978,127.0649151,,무료,02-949-2148,,,,,새책방      
23,,경희문고,동대문구,동대문구 회기로 113,37.59164957,127.0493102,,무료,02-957-7799,,https://www.instagram.com/khbook_seoul,,,새책방      
24,,계성문고,성북구,성북구 길음로 33 2층 22호,37.60504925,127.0220094,,무료,02-943-5398,,https://www.facebook.com/Gyeseongbooks,,,새책방      
26,,고려서점,강서구,강서구 강서로47길 26 지하1층,37.552876,126.8347796,,무료,02-2663-3181,,,,,새책방      
29,,곰서점,동작구,동작구 양녕로 186 지하1층,37.49791392,126.9435904,,무료,02-821-5672,,,,,새책방      
32,,공손서점,강동구,강동구 동남로75길 19 지하 1층,37.55413021,127.1551777,,무료,02-427-3888,,,,,새책방      
33,,공손서점,광진구,광진구 아차산로70길 17-17,37.54169929,127.1025258,,무료,02-444-1570,,,,,새책방      
34,,공신서점,양천구,양천구 신정로13길 22,37.51142543,126.8431316,,무료,02-2699-4002,,,,,새책방      
38,,공작문고,마포구,마포구 성산로 128 마포중앙도서관 지하 1층,37.56379544,126.9082019,,무료,,,https://www.instagram.com/gongjakbooks,,,새책방      
42,,광진서적,광진구,광진구 광나루로36길 76,37.5416637,127.0854335,,무료,02-455-2999,,,,,새책방      
43,,광평서점,강남구,강남구 광평로 63,37.48286093,127.0796263,,무료,02-445-6842,,,,,새책방      
48,,교보문고(동대문 바로드림센터),중구,"중구 장충단로13길 20, 현대시티아울렛 지하 1층",37.56873455,127.0076665,,무료,1544-1900,https://mblogthumb-phinf.pstatic.net/MjAxNjEyMzBfMTQy/MDAxNDgzMDg1NzU5MTI2.2ImS-TKMCTcCQuYFJCF_nxXQ_0tNPWa5PLdSKifiCEYg.a1_FbZmz4me6LamtH6NpcgQWTGxdhxfJKjCFcnuVD1Mg.JPEG.digitalhippy/IMG_0795.JPG?type=w800,,,,새책방      
50,,교보문고(목동점),양천구,"양천구 목동서로 159-1, CBS 지하 1층",37.52823182,126.8749907,,무료,1544-1900,https://t1.daumcdn.net/cfile/tistory/227AF14D54FAC95928,,,,새책방      
